key,category,state,path,source,width,height,bytes,sha256,status
produce-display-low-b05,fixture,low-stock,public/assets/game/fixtures/produce/produce-display-low-b05.png,produce-display-sparse-b03.png,1106,1040,1748942,237f181dbe1a6af4a023627b5327ae3c9834adbd8b512e960ed477d36eacee1d,production-derived
double-sided-grocery-shelf-low-b05,fixture,low-stock,public/assets/game/fixtures/shelves/double-sided-grocery-shelf-low-b05.png,double-sided-grocery-shelf-partial-b03.png,1125,961,1526102,4fe44326ed44a1a04cd0b4fef9458e0b576824d83ae4b7822363fec1dfc93086,production-derived
shopping-basket-green-empty-b05,prop,empty-green,public/assets/game/props/baskets/shopping-basket-green-empty-b05.png,shopping-basket-empty-b03.png,1115,973,1097318,82a4f328a7b65b3229d2c12773b53a0ac02e08cf062564c8cdba03456958bb99,production-derived
shopping-basket-blue-empty-b05,prop,empty-blue,public/assets/game/props/baskets/shopping-basket-blue-empty-b05.png,shopping-basket-empty-b03.png,1115,973,1138122,417b9674c3246ac49751226104238bf7ca3d08fc7678ab3b41128f1256f73703,production-derived
shopping-cart-blue-empty-b05,prop,empty-blue,public/assets/game/props/carts/shopping-cart-blue-empty-b05.png,shopping-cart-empty-b03.png,1038,1127,1591793,c10bd7e5cc4d1fb2c681df4930313fe87e2581ea4c58f6e321509b23ba7d1999,production-derived
shopping-cart-green-empty-b05,prop,empty-green,public/assets/game/props/carts/shopping-cart-green-empty-b05.png,shopping-cart-empty-b03.png,1038,1127,1590221,ceb86b5d80b6f68e88fa376cae927ece57be6c5a138f991ab348b33ba9654c72,production-derived
milk-case-closed-b05,prop,closed,public/assets/game/props/cases/milk-case-closed-b05.png,milk-case-b03.png,1144,1021,1438076,0030600448a292182bee1f2b64ba6e7de2358b1f202cfe3d595860efa15cbfa8,production-derived
water-case-closed-b05,prop,closed,public/assets/game/props/cases/water-case-closed-b05.png,water-case-b03.png,1231,1059,1386534,4b52a116f44e5a2b478516d7b0eb10f3abe153609dff88bf9ce05947b255fb7e,production-derived
success-check-gold-b05,ui,success-gold,public/assets/game/ui/results/success-check-gold-b05.png,success-check-b02.png,971,828,691361,d6b4621138f440cbd47d57e624c650452e13d64a1fc913a18118be691d1bf865,production-derived
warning-cross-amber-b05,ui,warning-amber,public/assets/game/ui/results/warning-cross-amber-b05.png,error-cross-b02.png,843,862,692672,c50ae4ea32c36a21391cba3af2db57f8b75bd7d2a1bf0a30b18ec18c10e9fa9a,production-derived
