key,category,subcategory,path,width,height,anchor,status,source_generated_file,bytes,sha256
product-orange-juice-b06,product,drinks,public/assets/game/production-v2/products/drinks/product-orange-juice-b06.png,512,768,"[0.5,0.96]",production,a_realistic_3d_rendered_product_illustration_on_a_1.png,258545,36333fbff13acade883100c964210778655f82a706fad6f35f1ba4f595e20b69
product-lime-drink-b06,product,drinks,public/assets/game/production-v2/products/drinks/product-lime-drink-b06.png,512,768,"[0.5,0.96]",production,a_clean_studio_style_product_render_on_a_transpar_2_batch_1.png,248181,8472c2f54cadaf6d900c4181d2e8df061dad4886e8c8e28a6ef7dadbf51a13b6
product-water-bottle-b06,product,drinks,public/assets/game/production-v2/products/drinks/product-water-bottle-b06.png,512,768,"[0.5,0.96]",production,a_clean_high_resolution_product_render_on_a_light_3_batch_2.png,240963,4549e837adf5696b73bf0bd645d12cfc05a03c6f3584597203995da549c79c3b
product-cookie-box-b06,product,snacks,public/assets/game/production-v2/products/snacks/product-cookie-box-b06.png,512,768,"[0.5,0.96]",production,a_clean_high_resolution_product_render_style_ima_4_batch_3.png,137580,53b85b0cc9ddd74cc005e4a99a5913c22033ec7738717524e5c1c504f8887981
product-peanut-butter-jar-b06,product,pantry,public/assets/game/production-v2/products/pantry/product-peanut-butter-jar-b06.png,512,768,"[0.5,0.96]",production,a_clean_studio_product_shot_on_a_transparent_check_5_batch_4.png,294758,b2666f627e1f54437dc604999aa4aad6ed062ca485d495b5ae97e9ce97cf751c
product-dish-soap-bottle-b06,product,household,public/assets/game/production-v2/products/household/product-dish-soap-bottle-b06.png,512,768,"[0.5,0.96]",production,a_clean_studio_product_shot_on_a_transparent_chec_6_batch_5.png,387803,c3f30de7e346ebeafd1b995ceef1439f360b762fdc1585e135a52a14facced28
product-milk-carton-b06,product,dairy,public/assets/game/production-v2/products/dairy/product-milk-carton-b06.png,512,768,"[0.5,0.96]",production,a_clean_high_quality_product_photo_packaging_mocku_7_batch_6.png,478449,ffbb9e17215e9430fc5822400c641cf9671d79b901d485db37560e7a35c2624a
product-potato-chips-bag-b06,product,snacks,public/assets/game/production-v2/products/snacks/product-potato-chips-bag-b06.png,512,768,"[0.5,0.96]",production,a_clean_product_shot_realistic_3d_render_style_i_8_batch_7.png,303094,831fe30416273f17effdb74a0af4841130c79033112d90fa874a84168c89c1f9
product-strawberry-yogurt-cup-b06,product,dairy,public/assets/game/production-v2/products/dairy/product-strawberry-yogurt-cup-b06.png,512,768,"[0.5,0.96]",production,a_clean_studio_like_product_render_on_a_transpare_9_batch_8.png,388140,b8444fc643af1e63b1add9705aafcefc58098e8d6628b485d4ecd281c9664dc0
product-tuna-can-b06,product,canned,public/assets/game/production-v2/products/canned/product-tuna-can-b06.png,512,768,"[0.5,0.96]",production,a_clean_high_resolution_product_render_style_ima_10_batch_9.png,228896,03532c13a8fc926e1de2949bec03f3e331731373347e0904c4349fbcd6732a72
