key,category,subcategory,path,width,height,anchor,source,status,bytes,sha256
product-red-apples-cluster-b08,product,fresh-produce-cluster,public/assets/game/production-v2/products/fresh/product-red-apples-cluster-b08.png,768,768,"[0.5,0.96]",produce-display-stocked-b02.png,production-derived,437988,77bf954a04fbf1e8109336b54898086171d71a0d3cf0b0746469a238055c150d
product-green-apples-cluster-b08,product,fresh-produce-cluster,public/assets/game/production-v2/products/fresh/product-green-apples-cluster-b08.png,768,768,"[0.5,0.96]",produce-display-stocked-b02.png,production-derived,426114,351b74221941afe16ff81d0df854b47f4cf0d4262d2308e5654bed5a3282eb59
product-oranges-cluster-b08,product,fresh-produce-cluster,public/assets/game/production-v2/products/fresh/product-oranges-cluster-b08.png,768,768,"[0.5,0.96]",produce-display-stocked-b02.png,production-derived,431917,f2dd2e9b9025a9e3714649296be4a9d9c209e2be43861bd0b278ade54d3f63ed
product-napa-cabbage-cluster-b08,product,fresh-produce-cluster,public/assets/game/production-v2/products/fresh/product-napa-cabbage-cluster-b08.png,768,768,"[0.5,0.96]",produce-display-stocked-b02.png,production-derived,559162,82ecc1b4a3c3f809ad11811064aeb4efd53aeffe2f47716630134f953bc873d7
product-bananas-cluster-b08,product,fresh-produce-cluster,public/assets/game/production-v2/products/fresh/product-bananas-cluster-b08.png,768,768,"[0.5,0.96]",produce-display-stocked-b02.png,production-derived,422369,015ae56f2b32866f8edb981c69150218854520152acc2b6904c7c1fe85b64842
product-cabbages-cluster-b08,product,fresh-produce-cluster,public/assets/game/production-v2/products/fresh/product-cabbages-cluster-b08.png,768,768,"[0.5,0.96]",produce-display-stocked-b02.png,production-derived,493326,c64ec645b0263738c44bf6743460795dad0adf4e3f0508fb00117ebec63105a3
product-tomatoes-cluster-b08,product,fresh-produce-cluster,public/assets/game/production-v2/products/fresh/product-tomatoes-cluster-b08.png,768,768,"[0.5,0.96]",produce-display-stocked-b02.png,production-derived,404385,baab3a4d88707c42148bb4de7707a464a4154750dc9f6dcbe30370a1b81dda10
product-spinach-cluster-b08,product,fresh-produce-cluster,public/assets/game/production-v2/products/fresh/product-spinach-cluster-b08.png,768,768,"[0.5,0.96]",produce-display-stocked-b02.png,production-derived,499339,53598ac8ba884175fc16d1891b86724d88544d3bd12e32075be43e3a049a2ffd
product-watermelons-cluster-b08,product,fresh-produce-cluster,public/assets/game/production-v2/products/fresh/product-watermelons-cluster-b08.png,768,768,"[0.5,0.96]",produce-display-stocked-b02.png,production-derived,394102,e8d3e9661f370150680dd5c9a535d354361e6821105c4c11a7c85bded268e5a7
product-mixed-peppers-cluster-b08,product,fresh-produce-cluster,public/assets/game/production-v2/products/fresh/product-mixed-peppers-cluster-b08.png,768,768,"[0.5,0.96]",produce-display-stocked-b02.png,production-derived,313630,c47f253f022e2ae6f62e707c34e1c1289b8dba1552b08a10d8416cbb0b23e1b4
